game_id,date,home_id,visitor_id,insertion_date
0022300587,2024-01-19T00:00:00,1610612748,1610612737,2024-04-04 10:25:18.851717
0022300384,2023-12-22T00:00:00,1610612748,1610612737,2024-04-04 10:25:27.372562
0022300175,2023-11-11T00:00:00,1610612737,1610612748,2024-04-04 10:25:39.879472
0022300759,2024-02-11T00:00:00,1610612748,1610612738,2024-04-04 10:25:57.693097
0022300630,2024-01-25T00:00:00,1610612748,1610612738,2024-04-04 10:26:01.032278
0022300080,2023-10-27T00:00:00,1610612738,1610612748,2024-04-04 10:26:22.627855
0022301029,2024-03-24T00:00:00,1610612748,1610612739,2024-04-04 10:26:26.844225
0022300996,2024-03-20T00:00:00,1610612739,1610612748,2024-04-04 10:26:27.899336
0022301220,2023-12-08T00:00:00,1610612748,1610612739,2024-04-04 10:26:51.671117
0022300229,2023-11-22T00:00:00,1610612739,1610612748,2024-04-04 10:26:54.598469
0022301013,2024-03-22T00:00:00,1610612748,1610612740,2024-04-04 10:27:08.926917
0022300810,2024-02-23T00:00:00,1610612740,1610612748,2024-04-04 10:27:14.232546
0022300337,2023-12-16T00:00:00,1610612748,1610612741,2024-04-04 10:28:14.376944
0022300320,2023-12-14T00:00:00,1610612748,1610612741,2024-04-04 10:28:14.884946
0022300220,2023-11-20T00:00:00,1610612741,1610612748,2024-04-04 10:28:19.141599
0022300204,2023-11-18T00:00:00,1610612741,1610612748,2024-04-04 10:28:19.603779
0022300904,2024-03-07T00:00:00,1610612742,1610612748,2024-04-04 10:28:32.374928
0022300949,2024-03-13T00:00:00,1610612748,1610612743,2024-04-04 10:29:06.545480
0022300855,2024-02-29T00:00:00,1610612743,1610612748,2024-04-04 10:29:08.946039
0022301044,2024-03-26T00:00:00,1610612748,1610612744,2024-04-04 10:29:38.583826
0022300426,2023-12-28T00:00:00,1610612744,1610612748,2024-04-04 10:29:54.241475
0022300509,2024-01-08T00:00:00,1610612748,1610612745,2024-04-04 10:30:26.161777
0022300708,2024-02-04T00:00:00,1610612748,1610612746,2024-04-04 10:30:51.793506
0022300458,2024-01-01T00:00:00,1610612746,1610612748,2024-04-04 10:31:11.980629
0022300475,2024-01-03T00:00:00,1610612747,1610612748,2024-04-04 10:32:19.043175
0022300150,2023-11-06T00:00:00,1610612748,1610612747,2024-04-04 10:32:44.807695
0022300985,2024-03-18T00:00:00,1610612755,1610612748,2024-04-04 10:32:56.280228
0022300977,2024-03-17T00:00:00,1610612765,1610612748,2024-04-04 10:32:57.413637
0022300962,2024-03-15T00:00:00,1610612765,1610612748,2024-04-04 10:32:58.533451
0022300926,2024-03-10T00:00:00,1610612748,1610612764,2024-04-04 10:32:59.678393
0022300914,2024-03-08T00:00:00,1610612760,1610612748,2024-04-04 10:33:00.837761
0022300888,2024-03-05T00:00:00,1610612748,1610612765,2024-04-04 10:33:02.610185
0022300867,2024-03-02T00:00:00,1610612748,1610612762,2024-04-04 10:33:04.383341
0022300842,2024-02-27T00:00:00,1610612757,1610612748,2024-04-04 10:33:05.570504
0022300831,2024-02-26T00:00:00,1610612758,1610612748,2024-04-04 10:33:06.716769
0022300779,2024-02-14T00:00:00,1610612755,1610612748,2024-04-04 10:33:07.835548
0022300773,2024-02-13T00:00:00,1610612749,1610612748,2024-04-04 10:33:09.794158
0022300730,2024-02-07T00:00:00,1610612748,1610612759,2024-04-04 10:33:11.079160
0022300721,2024-02-06T00:00:00,1610612748,1610612753,2024-04-04 10:33:12.508629
0022300689,2024-02-02T00:00:00,1610612764,1610612748,2024-04-04 10:33:14.372722
0022300678,2024-01-31T00:00:00,1610612748,1610612758,2024-04-04 10:33:15.842912
